w	f(w)	nodes
0	6	0
1	12	6
2	18	6
3	24	6
4	30	6
5	34	134
6	40	6
7	46	6
8	52	6
9	56	326
10	62	6
11	68	6
12	74	6
13	78	578
14	84	6
15	90	6
16	94	2221
17	100	6
18	106	6
19	112	6
20	116	2352
21	122	6
22	128	6
23	134	6
24	138	2047
25	144	6
26	150	6
27	154	7799
28	160	6
29	166	6
30	172	6
31	176	5754
32	182	6
33	188	6
34	192	16829
35	198	6
36	203	14393
37	209	6
38	214	8208
39	220	6
40	225	6536
41	230	18630
42	236	6
43	241	16440
44	246	40010
45	252	6
46	257	34634
47	262	88110
48	268	6
49	274	6
50	279	13179
51	284	31518
52	289	149482
53	295	6
54	300	78596
55	306	6
56	311	46684
57	316	152837
58	322	6
59	327	104539
60	332	298280
61	338	6
62	344	6
63	349	29944
64	354	72646
65	360	6
66	364	1050969
67	370	6
68	375	626597
69	380	1686340
70	386	6
71	391	1007177
72	396	2784801
73	402	6
74	407	1660579
75	412	4399884
76	418	6
77	423	2541492
78	429	6
79	434	966029
80	439	3787580
81	445	6
82	450	1678879
83	455	5741991
84	461	6
85	465	45677370
86	470	104461387
87	476	6
88	481	56741604
89	486	132320423
