 n        CONST  coeff2      HR     Liu | T3 a=n-1 LL a=(n-1)/2 C1 a=(n-3)/2 | Egan (n-3)!  record
 5          152       1       1       1 |        1            1            1 |           2       1
 6          867       1       2       2 |        1            2            4 |           6       5
 7         5884       2       4       8 |        4            7           11 |          24      22
 8        46085       8      18      33 |       15           31           44 |         120     119
 9       408246      43      92     172 |       80          163          219 |         720     720
10      4032007     266     568    1073 |      504         1021         1322 |        5040        
11     43908488    1920    4078    7747 |     3666         7406         9305 |       40320        
12    522547209   15778   33292   63555 |    30240        60989        74821 |      362880        
13   6745939210  145152  304709  584009 |   279139       562209       676556 |     3628800        
14  93884313611 1478400 3090333 5942830 |  2851200      5736546      6794349 |    39916800        
