n=5: {'(1)': True, '(2)': True, '(3)': True, '(4)': True, '(5)': True}  hidden-counts {'X1': (0, 0), 'X2': (2, 2), 'X3': (3, 3), 'Y1': (0, 0), 'Y2': (2, 2), 'Y3': (3, 3)}  cex charges 2,3
n=6: {'(1)': True, '(2)': True, '(3)': True, '(4)': True, '(5)': True}  hidden-counts {'X1': (0, 0), 'X2': (3, 3), 'X3': (4, 4), 'Y1': (0, 0), 'Y2': (3, 3), 'Y3': (4, 4)}  cex charges 2,4
n=7: {'(1)': True, '(2)': True, '(3)': True, '(4)': True, '(5)': True}  hidden-counts {'X1': (0, 0), 'X2': (4, 4), 'X3': (5, 5), 'Y1': (0, 0), 'Y2': (4, 4), 'Y3': (5, 5)}  cex charges 2,5
n=8: {'(1)': True, '(2)': True, '(3)': True, '(4)': True, '(5)': True}  hidden-counts {'X1': (0, 0), 'X2': (5, 5), 'X3': (6, 6), 'Y1': (0, 0), 'Y2': (5, 5), 'Y3': (6, 6)}  cex charges 2,6
n=9: {'(1)': True, '(2)': True, '(3)': True, '(4)': True, '(5)': True}  hidden-counts {'X1': (0, 0), 'X2': (6, 6), 'X3': (7, 7), 'Y1': (0, 0), 'Y2': (6, 6), 'Y3': (7, 7)}  cex charges 2,7
n=10: {'(1)': True, '(2)': True, '(3)': True, '(4)': True, '(5)': True}  hidden-counts {'X1': (0, 0), 'X2': (7, 7), 'X3': (8, 8), 'Y1': (0, 0), 'Y2': (7, 7), 'Y3': (8, 8)}  cex charges 2,8
n=11: {'(1)': True, '(2)': True, '(3)': True, '(4)': True, '(5)': True}  hidden-counts {'X1': (0, 0), 'X2': (8, 8), 'X3': (9, 9), 'Y1': (0, 0), 'Y2': (8, 8), 'Y3': (9, 9)}  cex charges 2,9
n=12: {'(1)': True, '(2)': True, '(3)': True, '(4)': True, '(5)': True}  hidden-counts {'X1': (0, 0), 'X2': (9, 9), 'X3': (10, 10), 'Y1': (0, 0), 'Y2': (9, 9), 'Y3': (10, 10)}  cex charges 2,10
n=13: {'(1)': True, '(2)': True, '(3)': True, '(4)': True, '(5)': True}  hidden-counts {'X1': (0, 0), 'X2': (10, 10), 'X3': (11, 11), 'Y1': (0, 0), 'Y2': (10, 10), 'Y3': (11, 11)}  cex charges 2,11
n=14: {'(1)': True, '(2)': True, '(3)': True, '(4)': True, '(5)': True}  hidden-counts {'X1': (0, 0), 'X2': (11, 11), 'X3': (12, 12), 'Y1': (0, 0), 'Y2': (11, 11), 'Y3': (12, 12)}  cex charges 2,12
ALL CLAIMS HOLD
