n=  6  ours/Liu = 2.000000   n*(ratio-1) = 6.0000   ours=4 Liu=2
n=  7  ours/Liu = 1.375000   n*(ratio-1) = 2.6250   ours=11 Liu=8
n=  8  ours/Liu = 1.333333   n*(ratio-1) = 2.6667   ours=44 Liu=33
n=  9  ours/Liu = 1.273256   n*(ratio-1) = 2.4593   ours=219 Liu=172
n= 10  ours/Liu = 1.232060   n*(ratio-1) = 2.3206   ours=1322 Liu=1073
n= 11  ours/Liu = 1.201110   n*(ratio-1) = 2.2122   ours=9305 Liu=7747
n= 12  ours/Liu = 1.177264   n*(ratio-1) = 2.1272   ours=74821 Liu=63555
n= 13  ours/Liu = 1.158468   n*(ratio-1) = 2.0601
n= 14  ours/Liu = 1.143285   n*(ratio-1) = 2.0060
n= 15  ours/Liu = 1.130762   n*(ratio-1) = 1.9614
n= 16  ours/Liu = 1.120255   n*(ratio-1) = 1.9241
n= 20  ours/Liu = 1.091021   n*(ratio-1) = 1.8204
n= 30  ours/Liu = 1.056631   n*(ratio-1) = 1.6989
n= 40  ours/Liu = 1.041106   n*(ratio-1) = 1.6442
n= 50  ours/Liu = 1.032263   n*(ratio-1) = 1.6132
n=100  ours/Liu = 1.015545   n*(ratio-1) = 1.5545
n=150  ours/Liu = 1.010239   n*(ratio-1) = 1.5359
n=200  ours/Liu = 1.007634   n*(ratio-1) = 1.5267
n=250  ours/Liu = 1.006085   n*(ratio-1) = 1.5213
n=300  ours/Liu = 1.005059   n*(ratio-1) = 1.5177
ours > Liu for every 6 <= n <= 300: True
