  n     R178 bound  ceiling(proved K)   ratio  ceiling(full walk)   ratio
  8             44                161   3.659                  61   1.386
  9            219                605   2.763                 280   1.279
 10           1322               4002   3.027                2314   1.750
 11           9305              30605   3.289               11523   1.238
 12          74821             204270   2.730               89518   1.196
 13         676556        1.96312e+06   2.902         1.18397e+06   1.750
 14    6.79435e+06        2.08739e+07   3.072         8.02111e+06   1.181
 17    1.17809e+10         3.4717e+10   2.947         1.34944e+10   1.145
 20    3.98902e+13        1.14328e+14   2.866         4.47486e+13   1.122
 23    2.33292e+17        6.55506e+17   2.810         2.57732e+17   1.105
 26    2.16561e+21        5.99541e+21   2.768         2.36466e+21   1.092
 29    2.99969e+25        8.20957e+25   2.737         3.24528e+25   1.082
 32    5.91422e+29        1.60382e+30   2.712         6.35075e+29   1.074
 35    1.59914e+34         4.3042e+34   2.692         1.70659e+34   1.067
 38    5.75396e+38         1.5391e+39   2.675         6.10878e+38   1.062
 39    2.01519e+40        5.19387e+40   2.577           2.133e+40   1.058
 40    7.25916e+41        1.90124e+42   2.619         1.27035e+42   1.750
